ID,NAME
9349,SHAHID HEMMAT INDUSTRIAL GROUP
9350,SHAHID BAKERI INDUSTRIAL GROUP
9352,SCIENTIFIC STUDIES AND RESEARCH CENTER
9385,"SERVICIOS ADMINISTRATIVOS Y DE ORGANIZACION, S.C."
9386,"KONTROLES ELECTRONICOS DE BAJA CALIFORNIA, S.A. DE C.V."
9387,"COMERCIALIZADORA AMIA, S.A. DE C.V."
9400,INDIO VITORIO S. DE P.R. DE R.L. DE C.V.
9401,CHIHUAHUA FOODS S.A. DE C.V.
9402,CORRALES SAN IGNACIO S.P.R. DE R.L. DE C.V.
9403,CAMBIOS PALMILLA S.A. DE C.V.
9404,GASOLINERAS SAN FERNANDO S.A. DE C.V.
9405,INMOBILIARIA EL PRESON S.A. DE C.V.
9406,INMOBILIARIA EL ESCORPION DEL NORTE S.A. DE C.V.
9407,DEL NORTES CARNES FINAS SAN IGNACIO S.A. DE C.V.
9408,AUTO EXPRESS DORADOS S.A. DE C.V.
9519,HESONG TRADING CORPORATION
9520,TOSONG TECHNOLOGY TRADING CORPORATION
9521,KOREA COMPLEX EQUIPMENT IMPORT CORPORATION
9523,KOREA KWANGSONG TRADING CORPORATION
9524,KOREA PUGANG TRADING CORPORATION
36299,KOREA ROUNSAN TRADING CORPORATION
9526,KOREA INTERNATIONAL CHEMICAL JOINT VENTURE COMPANY
9527,KOREA RYONHA MACHINERY JOINT VENTURE CORPORATION
9539,NICE FANTASY GARMENT COMPANY LTD.
9540,V.R. FRUIT COMPANY
9541,SIAM NICE COMPANY LTD.
9542,SCORE COMMERCIAL COMPANY LTD.
9543,RUNGRIN COMPANY LTD.
9544,RATTANA VICHAI COMPANY LTD.
9545,PROGRESS SURAWEE COMPANY LTD.
9546,PLUS TECH AUTO SUPPLY COMPANY LTD.
9547,PLOYDAENG JEWELRY SHOP
9548,MAESAI K.D.P. COMPANY LTD.
9549,KRADUMPORN IMPORT EXPORT COMPANY LTD.
9550,HATKAEW COMPANY LTD.
9551,GREEN CAR RENT LIMITED PARTNERSHIP
9552,BANGKOK SILK FLOWER COMPANY LTD.
9553,BANGKOK ARTI-FLORA DESIGN LIMITED PARTNERSHIP
9554,A-TEAM CHEMICALS COMPANY LTD.
9571,AGROPECUARIA PALMA DEL RIO S.A.
9600,SARA PROPERTIES LIMITED
9601,MEADOWBROOK INVESTMENTS LIMITED
9602,OZLAM PROPERTIES LIMITED
9603,SANABEL RELIEF AGENCY LIMITED
9609,AL MANAR TV
9610,LEBANESE MEDIA GROUP
9611,AL NOUR RADIO
9618,KOHAS AG
9749,"LIMMT ECONOMIC AND TRADE COMPANY, LTD."
9750,"BEIJING ALITE TECHNOLOGIES CO., LTD."
9753,CHINA NATIONAL PRECISION MACHINERY IMPORT/EXPORT CORPORATION
9756,AMEZCUA CONTRERAS ORGANIZATION
9759,DAWOOD IBRAHIM ORGANIZATION
9763,SANAM INDUSTRIAL GROUP
9764,YA MAHDI INDUSTRIES GROUP
9936,NETHERLANDS CARIBBEAN BANK N.V.
9949,ISLAMIC RESISTANCE SUPPORT ORGANIZATION
9964,YOUSSER COMPANY FOR FINANCE AND INVESTMENT
9965,BAYT AL-MAL
9971,PLAYA MAR S.A. DE C.V.
9972,INMOBILIARIA ESPARTA S.A. DE C.V.
9973,INMOBILIARIA LA PROVINCIA S.A. DE C.V.
9974,INMOBILIARIA ESTADO 29 S.A. DE C.V.
9975,INMOBILIARIA TIJUANA COSTA S.A. DE C.V.
10001,INVERSIONES MACARNIC PATINO Y CIA S.C.S.
10002,COMERCIALIZADORA DE CAFE DEL OCCIDENTE CODECAFE LTDA.
10003,GOMEZ MARIN LTDA.
10004,GAVIOTAS LTDA.
10005,CANO AGUDELO S EN C
10012,KOREA HYOKSIN TRADING CORPORATION
10046,CASA HAMZE
10052,GALERIA PAGE
10053,JIHAD AL-BINA
10116,CARGO FREIGHT INTERNATIONAL
10117,COMPAGNIE AERIENNE DES GRANDS LACS
10118,GREAT LAKES BUSINESS COMPANY
10122,KALAYE ELECTRIC COMPANY
10128,HIGHER INSTITUTE OF APPLIED SCIENCE AND TECHNOLOGY
10129,ELECTRONICS INSTITUTE
10130,NATIONAL STANDARDS AND CALIBRATION LABORATORY
10133,SNIPER AFRICA
10143,BUTEMBO AIRLINES
10144,CONGOCOM TRADING HOUSE
10145,MACHANGA LTD.
10146,UGANDA COMMERCIAL IMPEX
10153,DEFENSE INDUSTRIES ORGANIZATION
10226,CONSTRUCTORA AMERICA S.A.
10234,INVERSIONES Y REPRESENTACIONES S.A.
10361,ROSARIO NIEBLA CARDOZA A. EN P.
10363,ESTANCIA INFANTIL NINO FELIZ S.C.
